commit	step	status	tests	description
ebe4083	1	keep	1	project skeleton
bfb2ef4	2	keep	1	pyproject.toml + workspace member
cfe403e	3-6	keep	11	token alignment module + tests (all pass)
ab75e02	7-8	keep	12	cross-tokenizer loss + tests (all pass)
e0a68b1	9-13	keep	29	algorithm + tests (all 29 pass)
c1fd52c	14-16	keep	0	config + entry + SLURM script
b2b0840	17	keep	10	10-step smoke test PASS: loss 51.5→0.06, Nemotron-9B student + Qwen3-4B teacher
57b7a63	exp2	keep	50	50-step reverse KL: loss -1.75→-2.47, chunks 35K→189 (mode collapse)
9525cf8	exp3	keep	50	50-step mixed KL(0.5): loss 38.9→0.12, chunks 30K→205 (stable)
f8dd904	exp4	keep	50	50-step forward KL: loss 67→-0.96, chunks 34K→96 (severe collapse)
23081a1	exp5	keep	50	50-step forward KL (fixed): loss 75.6→-2.87, chunks 39K→96 (collapse persists)
3d7054c	exp6c	keep	50	50-step forward KL lr=1e-6: loss 56.7→0.13 chunks 36K→22K (NO collapse!) ⭐
2d04910	exp7	drop	50	50-step mixed KL(0.5) lr=1e-6: ALL ZEROS (bug: forward+reverse=0)
2d04910	exp8	keep	50	50-step mixed abs KL lr=1e-6: loss 54.7→2.4 chunks 35K→25K (stable)
b79cd54	exp2-lenorm	keep	30	Length-normalized chunk KL: NO gibberish (vs immediate collapse before). Acc: 0.63%→0.83%(step5)→0.42%(step30). Loss drops 257→4.5 too fast, accuracy degrades after step 10. Need slower LR or anchor loss.
ec30376	exp3-fwd-nll	keep	30	Forward KL + NLL anchor(α=0.5) + length-norm. Coherent outputs 27/30 steps. Acc: 0.63%→0.83%(step10-20)→0.0%(step25)→0.42%(step30). Distill loss: 10.9→0.45. NLL stable ~1.0. Accuracy plateaus at baseline, doesn't improve. Step 25 accuracy=0 is concerning.
